,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
0,100x100,10000,298,8,6,2.98,3,7,(0.7018997612186645+0.02334024579084909j),0.7022877201492245,0.0046923160552978516,26
1,100x100,10000,294,8,6,2.94,3,7,(0.7570037142158123+0j),0.7570037142158123,0.007025003433227539,30
2,100x100,10000,297,7,6,2.97,3,6,(0.6148656956917458+0j),0.6148656956917458,0.004508256912231445,24
3,100x100,10000,300,8,6,3.0,3,10,(0.628578689861626+0j),0.628578689861626,0.005578041076660156,24
4,100x100,10000,298,8,6,2.98,3,6,(0.6467232714486735+0j),0.6467232714486735,0.004607439041137695,26
5,100x100,10000,299,7,6,2.99,3,8,(0.6147382023296029+0j),0.6147382023296029,0.0045166015625,25
6,100x100,10000,296,9,6,2.96,3,7,(0.656211831892284+0.0736055368235205j),0.6603269973024773,0.0039997100830078125,26
7,100x100,10000,299,8,6,2.99,3,7,(0.7015220258084935+0.006811306899055584j),0.7015550916329564,0.0050296783447265625,29
8,100x100,10000,297,8,6,2.97,3,7,(0.6500006427557324+0j),0.6500006427557324,0.0049991607666015625,29
9,100x100,10000,295,8,6,2.95,3,8,(0.6257152957092693+0j),0.6257152957092693,0.006014347076416016,32
10,101x101,10201,489,5,4,4.841584158415841,5,11,(0.6148531666107605+0j),0.6148531666107605,0.004944324493408203,17
11,101x101,10201,494,6,4,4.891089108910891,5,10,(0.4719522150672214+0j),0.4719522150672214,0.005003690719604492,17
12,101x101,10201,493,6,4,4.881188118811881,5,10,(0.5274341248825851+0.05782575890762598j),0.5305945481098551,0.005274534225463867,19
13,101x101,10201,499,6,4,4.9405940594059405,5,10,(0.49545332031489564+0.037476387109934325j),0.49686866695523096,0.005015134811401367,17
14,101x101,10201,491,5,4,4.861386138613861,5,10,(0.5663318827428391+0j),0.5663318827428391,0.0041828155517578125,16
15,101x101,10201,495,6,4,4.900990099009901,5,11,(0.47036253578300263+0j),0.47036253578300263,0.004811286926269531,16
16,101x101,10201,494,6,4,4.891089108910891,5,12,(0.44234291941904447+0.10085634570917142j),0.45369511880774205,0.004508018493652344,17
17,101x101,10201,491,6,4,4.861386138613861,5,10,(0.5228571063522218+0.0403688815439893j),0.5244131961155547,0.0054781436920166016,17
18,101x101,10201,497,6,4,4.920792079207921,5,10,(0.4304375835712322+0.10474206700097169j),0.44299820987254285,0.004000425338745117,17
19,101x101,10201,500,6,4,4.9504950495049505,5,10,(0.49079993792838117+0.03601990880257207j),0.4921199171956449,0.005013704299926758,18
20,102x102,10404,697,4,3,6.833333333333333,7,12,(0.4168299894436066+0j),0.4168299894436066,0.004547834396362305,13
21,102x102,10404,695,4,4,6.813725490196078,7,13,(0.41770654164120247+0.016656503993085745j),0.4180385078615668,0.0054416656494140625,14
22,102x102,10404,691,5,3,6.7745098039215685,7,11,(0.38961778327542296+0j),0.38961778327542296,0.004967689514160156,14
23,102x102,10404,691,5,4,6.7745098039215685,7,14,(0.4232443844512761+0j),0.4232443844512761,0.00501704216003418,15
24,102x102,10404,695,4,4,6.813725490196078,7,15,(0.4096587012222985+0j),0.4096587012222985,0.004505157470703125,14
25,102x102,10404,700,5,3,6.862745098039215,7,13,(0.4149592104999663+0.040076725149665905j),0.4168900218012866,0.005597591400146484,14
26,102x102,10404,697,4,3,6.833333333333333,7,13,(0.4143468016338937+0.06633269235862567j),0.419622804551637,0.004518747329711914,14
27,102x102,10404,695,5,3,6.813725490196078,7,15,(0.4359672072520745+0.17320615319984142j),0.4691138212688475,0.005511283874511719,14
28,102x102,10404,699,4,4,6.852941176470588,7,12,(0.4564653835611234+0j),0.4564653835611234,0.004851341247558594,14
29,102x102,10404,690,4,3,6.764705882352941,7,13,(0.40405045032877074+0.023930432919397573j),0.404758486051364,0.004920482635498047,14
30,103x103,10609,894,4,3,8.679611650485437,9,16,(0.36332854403697257+0.00783981045213835j),0.3634131169068499,0.005513191223144531,12
31,103x103,10609,889,4,3,8.631067961165048,9,14,(0.3689613540076031+0.07227538355345987j),0.3759736850085702,0.0050084590911865234,12
32,103x103,10609,890,4,3,8.640776699029127,9,17,(0.33800564027962854+0.01910802308029285j),0.33854531366846397,0.005910158157348633,12
33,103x103,10609,897,4,3,8.70873786407767,9,14,(0.3549624771335542+0.1018544497423858j),0.36928673020447567,0.006009340286254883,12
34,103x103,10609,890,4,3,8.640776699029127,9,15,(0.41733331244204247+0j),0.41733331244204247,0.006009101867675781,12
35,103x103,10609,908,4,3,8.815533980582524,9,14,(0.35975227819938094+0.06820458967423648j),0.36616057641733596,0.006027936935424805,12
36,103x103,10609,888,4,3,8.62135922330097,9,15,(0.3764543322656978+0j),0.3764543322656978,0.005791902542114258,12
37,103x103,10609,898,4,3,8.718446601941748,9,20,(0.3614025879314846+0.08154989348621344j),0.37048915731932996,0.006016731262207031,12
38,103x103,10609,883,4,3,8.572815533980583,9,14,(0.3568117842991596+0.04100596892171005j),0.3591603247881902,0.005133152008056641,12
39,103x103,10609,890,4,3,8.640776699029127,9,15,(0.35297256959969664+0j),0.35297256959969664,0.005787372589111328,13
40,104x104,10816,311,9,6,2.9903846153846154,3,8,(0.6541937989770944+0.05531046155641598j),0.656527816453855,0.004475593566894531,25
41,104x104,10816,308,9,6,2.9615384615384617,3,8,(0.6014561431796246+0.2128310290966834j),0.6380019898988265,0.00599980354309082,30
42,104x104,10816,306,8,6,2.9423076923076925,3,7,(0.6903863991444275+0j),0.6903863991444275,0.005152463912963867,29
43,104x104,10816,309,8,6,2.9711538461538463,3,7,(0.6363090910047978+0j),0.6363090910047978,0.004595756530761719,27
44,104x104,10816,308,8,6,2.9615384615384617,3,8,(0.6329379653437133+0.24724569353774428j),0.6795151955228078,0.005502939224243164,27
45,104x104,10816,309,8,6,2.9711538461538463,3,9,(0.6925881624044818+0j),0.6925881624044818,0.004958629608154297,24
46,104x104,10816,311,8,6,2.9903846153846154,3,7,(0.635724194595379+0j),0.635724194595379,0.003999471664428711,27
47,104x104,10816,309,8,6,2.9711538461538463,3,7,(0.6868732707170322+0j),0.6868732707170322,0.0050029754638671875,29
48,104x104,10816,309,8,6,2.9711538461538463,3,6,(0.5898105669083691+0.11665459427821837j),0.601236059466652,0.006087541580200195,31
49,104x104,10816,309,8,6,2.9711538461538463,3,8,(0.6920171032340641+0.09839633035241646j),0.6989774738825902,0.005011320114135742,30
50,105x105,11025,1017,4,3,9.685714285714285,10,17,(0.3489389814824581+0j),0.3489389814824581,0.005773782730102539,12
51,105x105,11025,1002,4,3,9.542857142857143,10,18,(0.3431036586271774+0j),0.3431036586271774,0.00498199462890625,11
52,105x105,11025,1000,4,3,9.523809523809524,10,22,(0.28846381816973526+0.048573772250464387j),0.2925248463698461,0.004998207092285156,11
53,105x105,11025,1009,4,3,9.60952380952381,10,17,(0.30638815081439136+0.15733036521204471j),0.34442204165415663,0.005053043365478516,11
54,105x105,11025,1009,4,3,9.60952380952381,10,16,(0.3908440394623287+0j),0.3908440394623287,0.006005048751831055,11
55,105x105,11025,1007,4,3,9.59047619047619,10,18,(0.41808278647902125+0j),0.41808278647902125,0.004377126693725586,11
56,105x105,11025,1010,4,3,9.619047619047619,10,18,(0.37006226280714194+0j),0.37006226280714194,0.005003690719604492,11
57,105x105,11025,1004,4,3,9.561904761904762,10,20,(0.3887083067411523+0j),0.3887083067411523,0.00570988655090332,12
58,105x105,11025,1016,4,3,9.676190476190476,10,18,(0.3564182009436122+0j),0.3564182009436122,0.004506587982177734,11
59,105x105,11025,1000,4,3,9.523809523809524,10,16,(0.32941104075756655+0.04246946038570957j),0.33213745473589174,0.005614519119262695,11
60,106x106,11236,626,5,4,5.90566037735849,6,12,(0.442147716577295+0.02483760453796517j),0.4428447920814925,0.0063915252685546875,16
61,106x106,11236,621,5,4,5.8584905660377355,6,12,(0.444739524442554+0.006892911943383786j),0.444792937035255,0.00651240348815918,16
62,106x106,11236,622,6,4,5.867924528301887,6,11,(0.5081800334119486+0j),0.5081800334119486,0.00651097297668457,15
63,106x106,11236,621,5,4,5.8584905660377355,6,12,(0.4283725924019051+0j),0.4283725924019051,0.006311893463134766,15
64,106x106,11236,620,5,4,5.849056603773585,6,12,(0.4507465378069557+0.048147262113132576j),0.4533107104337466,0.006506204605102539,15
65,106x106,11236,611,6,4,5.764150943396227,6,13,(0.497026397622611+0.05575421558351893j),0.5001437518244564,0.006966829299926758,16
66,106x106,11236,620,5,4,5.849056603773585,6,12,(0.48894085454062086+0j),0.48894085454062086,0.006001949310302734,16
67,106x106,11236,620,5,4,5.849056603773585,6,13,(0.42397915285424836+0j),0.42397915285424836,0.0058329105377197266,15
68,106x106,11236,619,5,4,5.839622641509434,6,12,(0.4558746687396221+0.1639590787698176j),0.48446289136476434,0.005022287368774414,15
69,106x106,11236,621,5,4,5.8584905660377355,6,13,(0.43517129157289103+0.08701524267273862j),0.4437856526146533,0.005000591278076172,15
70,107x107,11449,1126,4,3,10.523364485981308,11,20,(0.3476770930394848+0.1027257898839182j),0.3625354450693911,0.006011962890625,12
71,107x107,11449,1122,4,3,10.485981308411215,11,20,(0.3125125192023235+0j),0.3125125192023235,0.0060117244720458984,11
72,107x107,11449,1118,4,3,10.448598130841122,11,18,(0.3261738128389173+0.010822127505656287j),0.32635329724950796,0.006000041961669922,11
73,107x107,11449,1113,4,3,10.401869158878505,11,17,(0.36016930928363244+0j),0.36016930928363244,0.006012678146362305,11
74,107x107,11449,1119,4,3,10.457943925233645,11,23,(0.3829437885507775+0j),0.3829437885507775,0.00504612922668457,11
75,107x107,11449,1119,4,3,10.457943925233645,11,18,(0.34640302053488103+0.04197595073851003j),0.3489370044522235,0.005356550216674805,11
76,107x107,11449,1121,4,3,10.476635514018692,11,19,(0.33297119958300503+0.051698181171947355j),0.33696071238088404,0.005072355270385742,11
77,107x107,11449,1132,4,3,10.57943925233645,11,19,(0.35267175869862966+0j),0.35267175869862966,0.005600452423095703,11
78,107x107,11449,1128,3,3,10.542056074766355,11,19,(0.3369559138005355+0.06303493758733915j),0.34280124154062463,0.004974842071533203,11
79,107x107,11449,1112,4,3,10.392523364485982,11,20,(0.3220568734222792+0.01872021731802302j),0.32260049016541803,0.005988121032714844,11
80,108x108,11664,1029,4,3,9.527777777777779,10,19,(0.35222978143290695+0.047209956053258756j),0.3553795138704875,0.0061795711517333984,11
81,108x108,11664,1041,4,3,9.63888888888889,10,16,(0.3463428282280059+0j),0.3463428282280059,0.005011558532714844,11
82,108x108,11664,1044,4,3,9.666666666666666,10,18,(0.3642964482989597+0j),0.3642964482989597,0.00552678108215332,12
83,108x108,11664,1043,4,3,9.657407407407407,10,17,(0.3579779086697513+0.02420700948958821j),0.35879543252945384,0.005509614944458008,11
84,108x108,11664,1035,4,3,9.583333333333334,10,15,(0.3741459002815271+0j),0.3741459002815271,0.005411863327026367,11
85,108x108,11664,1033,4,3,9.564814814814815,10,18,(0.328588957780112+0j),0.328588957780112,0.0050160884857177734,11
86,108x108,11664,1043,4,3,9.657407407407407,10,19,(0.3387103438209318+0.09276360916108269j),0.3511834053537894,0.0050084590911865234,12
87,108x108,11664,1019,4,3,9.435185185185185,10,16,(0.3482148114577104+0j),0.3482148114577104,0.0060045719146728516,12
88,108x108,11664,1024,4,3,9.481481481481481,10,18,(0.3187162199712156+0.09697405366042722j),0.33314260603542695,0.0055027008056640625,12
89,108x108,11664,1033,4,3,9.564814814814815,10,16,(0.385819333550817+0j),0.385819333550817,0.005506753921508789,12
90,109x109,11881,1148,4,3,10.53211009174312,11,19,(0.33065126761914565+0j),0.33065126761914565,0.006171464920043945,11
91,109x109,11881,1134,4,3,10.403669724770642,11,17,(0.3468507748643599+0.03344016085885206j),0.3484590426180282,0.0060160160064697266,11
92,109x109,11881,1151,4,3,10.559633027522937,11,17,(0.3693805294515041+0j),0.3693805294515041,0.006134748458862305,11
93,109x109,11881,1144,4,3,10.495412844036696,11,21,(0.3330587783607048+0j),0.3330587783607048,0.006004810333251953,11
94,109x109,11881,1162,4,3,10.660550458715596,11,17,(0.35604933757217605+0.052176212660069686j),0.35985203619423106,0.00701451301574707,11
95,109x109,11881,1149,3,3,10.541284403669724,11,18,(0.31826792497646184+0.107710766139802j),0.3360001208500465,0.006005048751831055,11
96,109x109,11881,1151,4,3,10.559633027522937,11,20,(0.34305109250985405+0.008604225907991413j),0.34315897886501556,0.0069789886474609375,11
97,109x109,11881,1150,4,3,10.55045871559633,11,17,(0.3578609954041105+0j),0.3578609954041105,0.007700920104980469,11
98,109x109,11881,1144,4,3,10.495412844036696,11,20,(0.36443921649752065+0j),0.36443921649752065,0.007248878479003906,11
99,109x109,11881,1148,4,3,10.53211009174312,11,17,(0.33165339708627917+0.02516844515256728j),0.3326070150045951,0.009186267852783203,11
100,10x10,100,58,3,2,5.8,7,8,(0.1947870266198105+0j),0.1947870266198105,0.0,10
101,10x10,100,64,2,2,6.4,8,7,(0.2778112102324145+0j),0.2778112102324145,0.0010004043579101562,10
102,10x10,100,64,2,2,6.4,7,8,(0.13341060433823232+0.22618912044725914j),0.26260218498443055,0.0,8
103,10x10,100,61,2,2,6.1,7,8,(0.37451057625717776+0.08869922806406602j),0.3848710495576987,0.0005052089691162109,10
104,10x10,100,58,3,2,5.8,7,8,(0.40507969047177644+0j),0.40507969047177644,0.0,11
105,10x10,100,61,2,2,6.1,8,8,(0.17360546963983653+0.19186705026615894j),0.25875050544241446,0.0019991397857666016,8
106,10x10,100,60,2,2,6.0,8,7,(0.2755695928251017+0j),0.2755695928251017,0.0010263919830322266,10
107,10x10,100,60,2,2,6.0,7,8,(0.25649220335763717+0.14077043846206724j),0.29258258104005125,0.0010008811950683594,9
108,10x10,100,64,3,2,6.4,8,8,(0.17030774752044686+0.18235823815756472j),0.24951804722187806,0.001001596450805664,9
109,10x10,100,60,3,2,6.0,8,9,(0.37006552461023023+0j),0.37006552461023023,0.0005433559417724609,10
