,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,convergence_speed,convergence_iterations
0,100x100,10000,199,10,7,1.99,3,2,(1.3587315615975621+0.1044199199072815j),0.1280379295349121,820
1,100x100,10000,200,10,7,2.0,3,2,(1.433653666935661+0j),0.12866806983947754,803
2,100x100,10000,200,9,7,2.0,3,2,(1.2989990866321397+0.30266370620194327j),0.10932135581970215,827
3,100x100,10000,198,11,7,1.98,3,2,(1.3820998078318185+0.3330092536164859j),0.11173629760742188,860
4,100x100,10000,199,10,7,1.99,3,2,(1.2861288459039657+0.4652833987281018j),0.10671544075012207,821
5,100x100,10000,199,10,7,1.99,3,2,(1.3604896195140708+0j),0.11271548271179199,857
6,100x100,10000,200,10,7,2.0,3,2,(1.3122378172686715+0.5837107966118535j),0.1058042049407959,800
7,100x100,10000,197,11,8,1.97,3,2,(1.3671573841882947+0.08982021669393843j),0.10471940040588379,806
8,100x100,10000,200,11,7,2.0,3,2,(1.4623385673916154+0j),0.10840201377868652,816
9,100x100,10000,200,10,7,2.0,3,2,(1.4375689967196785+0.008634571329298938j),0.11273360252380371,824
10,101x101,10201,202,10,8,2.0,3,2,(1.2673349354823134+0.29892956760563494j),0.10686254501342773,822
11,101x101,10201,200,10,7,1.9801980198019802,3,2,(1.2725577516863171+0.39738741729329036j),0.10870862007141113,833
12,101x101,10201,201,9,7,1.99009900990099,3,2,(1.2988483583885944+0.09104420710230404j),0.10181450843811035,772
13,101x101,10201,199,11,8,1.9702970297029703,3,2,(1.5201313061917678+0j),0.1047203540802002,800
14,101x101,10201,198,10,7,1.9603960396039604,2,2,(1.3261233676045412+0j),0.10576939582824707,811
15,101x101,10201,202,9,7,2.0,3,2,(1.4241975187488611+0j),0.10794711112976074,816
16,101x101,10201,201,12,8,1.99009900990099,3,2,(1.4676375293854358+0.1850128016911378j),0.11070442199707031,827
17,101x101,10201,202,11,7,2.0,3,2,(1.4927986233175563+0j),0.11573314666748047,822
18,101x101,10201,201,10,8,1.99009900990099,3,2,(1.394815818629389+0.040722424468823064j),0.12647414207458496,824
19,101x101,10201,201,10,8,1.99009900990099,3,2,(1.449129305725533+0.4327237998699576j),0.11228656768798828,799
20,102x102,10404,204,10,8,2.0,3,2,(1.4315905656735353+0j),0.1132359504699707,773
21,102x102,10404,204,10,8,2.0,3,2,(1.3555291881247737+0.29894250321024923j),0.1250312328338623,844
22,102x102,10404,203,10,7,1.9901960784313726,3,2,(1.4031462032432929+0.15032214498546828j),0.11841297149658203,828
23,102x102,10404,204,9,7,2.0,3,2,(1.319899259269147+0.2927412722637303j),0.11671876907348633,827
24,102x102,10404,203,10,7,1.9901960784313726,3,2,(1.4510694010535916+0j),0.11572575569152832,838
25,102x102,10404,203,10,7,1.9901960784313726,3,2,(1.4221991212731888+0j),0.11577033996582031,809
26,102x102,10404,204,9,7,2.0,3,2,(1.3707492690096643+0.21126376956903595j),0.11284804344177246,831
27,102x102,10404,202,10,8,1.9803921568627452,3,2,(1.3148666122868162+0.08612675019315248j),0.11713194847106934,862
28,102x102,10404,202,10,7,1.9803921568627452,3,2,(1.339104623153392+0j),0.11170554161071777,828
29,102x102,10404,204,10,7,2.0,3,2,(1.3510309137691467+0.36825812375113903j),0.10238027572631836,769
30,103x103,10609,205,10,7,1.9902912621359223,3,2,(1.3554245355460324+0j),0.11624479293823242,814
31,103x103,10609,204,10,8,1.9805825242718447,3,2,(1.380947894913135+0.13103290264528686j),0.10974335670471191,808
32,103x103,10609,204,10,8,1.9805825242718447,3,2,(1.4107196316884605+0j),0.10582900047302246,797
33,103x103,10609,205,10,7,1.9902912621359223,3,2,(1.4306054599835774+0j),0.10987305641174316,802
34,103x103,10609,206,9,7,2.0,3,2,(1.4602249258549018+0j),0.11319231986999512,838
35,103x103,10609,203,11,8,1.970873786407767,3,2,(1.3788855340322863+0.17308864557389894j),0.11373543739318848,814
36,103x103,10609,205,10,8,1.9902912621359223,3,2,(1.378906070706916+0.3161223820720132j),0.10674381256103516,793
37,103x103,10609,204,10,8,1.9805825242718447,3,2,(1.399943929566907+0.16708054636798045j),0.10726523399353027,787
38,103x103,10609,205,10,8,1.9902912621359223,3,2,(1.4134948933920826+0.13592598121388966j),0.11287832260131836,829
39,103x103,10609,202,11,8,1.9611650485436893,3,2,(1.2992071931320304+0.5682030621907723j),0.11833477020263672,837
40,104x104,10816,205,11,7,1.9711538461538463,3,2,(1.4465610424697786+0j),0.1216740608215332,799
41,104x104,10816,206,11,7,1.9807692307692308,3,2,(1.4075789856517327+0.3640339301676411j),0.1215677261352539,829
42,104x104,10816,207,10,8,1.9903846153846154,3,2,(1.3465661739650134+0.5257406254431307j),0.12713909149169922,828
43,104x104,10816,208,10,8,2.0,3,2,(1.475245562730106+0j),0.1151738166809082,795
44,104x104,10816,208,10,7,2.0,3,2,(1.3745980106104754+0j),0.1245887279510498,824
45,104x104,10816,206,10,8,1.9807692307692308,3,2,(1.325635579304445+0.13504076937809917j),0.11573934555053711,821
46,104x104,10816,205,10,8,1.9711538461538463,3,2,(1.4689646600935231+0.24425080316451273j),0.11472845077514648,819
47,104x104,10816,207,10,8,1.9903846153846154,3,2,(1.3304004106946663+0.1291963407118439j),0.12087440490722656,832
48,104x104,10816,207,9,8,1.9903846153846154,3,2,(1.363178247759546+0.06408856091048189j),0.12430214881896973,846
49,104x104,10816,208,10,7,2.0,3,2,(1.3854001580004869+0.19308520619237377j),0.12176895141601562,843
50,105x105,11025,208,10,8,1.980952380952381,3,2,(1.4281139503081952+0.22331343762647943j),0.11576175689697266,820
51,105x105,11025,207,10,7,1.9714285714285715,3,2,(1.2998157886823833+0j),0.11973834037780762,825
52,105x105,11025,210,10,7,2.0,3,2,(1.4341973035545938+0j),0.11388802528381348,797
53,105x105,11025,208,10,8,1.980952380952381,3,2,(1.3514721527070663+0.24639588397919904j),0.11881542205810547,817
54,105x105,11025,208,11,8,1.980952380952381,3,2,(1.410935366165028+0j),0.11492609977722168,838
55,105x105,11025,210,10,7,2.0,3,2,(1.4411572184529797+0j),0.1186833381652832,823
56,105x105,11025,210,10,7,2.0,3,2,(1.348994668523742+0j),0.11395978927612305,807
57,105x105,11025,209,11,8,1.9904761904761905,3,2,(1.5466545985233018+0j),0.12040281295776367,858
58,105x105,11025,207,11,8,1.9714285714285715,3,2,(1.3916679711391704+0j),0.1118006706237793,813
59,105x105,11025,210,10,7,2.0,3,2,(1.3892412078000531+0.31210436379896234j),0.11366963386535645,799
60,106x106,11236,211,10,8,1.990566037735849,3,2,(1.4038866246616257+0j),0.12085604667663574,808
61,106x106,11236,211,10,7,1.990566037735849,3,2,(1.3737000954925958+0j),0.11529088020324707,779
62,106x106,11236,212,10,7,2.0,3,2,(1.3508030501525137+0.1575740902911808j),0.12746906280517578,852
63,106x106,11236,210,10,8,1.9811320754716981,3,2,(1.3714874195695133+0.4159391793157237j),0.12701034545898438,808
64,106x106,11236,210,11,8,1.9811320754716981,3,2,(1.4080297689752697+0j),0.12183284759521484,786
65,106x106,11236,211,11,8,1.990566037735849,3,2,(1.3119096194325373+0j),0.12715959548950195,823
66,106x106,11236,212,9,8,2.0,3,2,(1.3661800863106746+0j),0.1207737922668457,810
67,106x106,11236,212,10,8,2.0,3,2,(1.4693902180583334+0.19157581060127055j),0.11668872833251953,803
68,106x106,11236,210,10,7,1.9811320754716981,3,2,(1.3241040696553905+0.3316913345287019j),0.11986064910888672,835
69,106x106,11236,211,10,8,1.990566037735849,3,2,(1.276175172174994+0j),0.1189723014831543,829
70,107x107,11449,212,11,8,1.9813084112149533,3,2,(1.523662487274418+0j),0.1139676570892334,820
71,107x107,11449,212,10,8,1.9813084112149533,3,2,(1.2766744608237248+0.18245229741944832j),0.11786150932312012,806
72,107x107,11449,214,10,8,2.0,3,2,(1.4300829690539338+0j),0.11679244041442871,805
