,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
0,100x100,10000,7500,2,2,75.0,75,83,(0.09317972634710821+0j),0.09317972634710821,32.15127491950989,8608
1,100x100,10000,7000,2,2,70.0,70,80,(0.08163826896278711+0.024042479004168768j),0.0851049220427718,23.84452438354492,7617
2,100x100,10000,6500,2,2,65.0,65,76,(0.10219809020061393+0.023836336277274165j),0.10494103376552052,22.812623023986816,8463
3,100x100,10000,6000,2,2,60.0,60,71,(0.10434344659916436+0.014502849996511018j),0.10534651159964417,18.06768155097961,6926
4,100x100,10000,5600,2,2,56.0,56,66,(0.11205593599002625+0j),0.11205593599002625,16.798505306243896,7373
5,100x100,10000,5100,2,2,51.0,51,60,(0.11278164926650974+0.0031496717513625j),0.11282562139609668,12.69094944000244,6152
6,100x100,10000,4600,2,2,46.0,46,64,(0.12509867198058755+0.07190926949730012j),0.1442935229694735,9.779740333557127,5279
7,100x100,10000,4000,2,2,40.0,40,54,(0.13578653040363245+0j),0.13578653040363245,9.655317783355711,5916
8,100x100,10000,3500,2,2,35.0,35,47,(0.18200595399911107+0j),0.18200595399911107,6.374526739120483,4399
9,100x100,10000,3000,2,2,30.0,30,41,(0.18707980314691341+0.04286876699841405j),0.19192859070355356,5.640856504440308,4474
10,101x101,10201,7676,2,2,76.0,76,87,(0.08088015938121441+0j),0.08088015938121441,26.27502417564392,8756
11,101x101,10201,7171,2,2,71.0,71,84,(0.08631706717708013+0.026050659233792996j),0.09016248073654455,23.993257522583008,8538
12,101x101,10201,6666,2,2,66.0,66,75,(0.09480428160550222+0.05226474083060406j),0.10825643142476839,19.10480546951294,7312
13,101x101,10201,6161,2,2,61.0,61,71,(0.10198451992716812+0j),0.10198451992716812,17.34722900390625,7135
14,101x101,10201,5656,2,2,56.0,56,65,(0.13191030363241066+0j),0.13191030363241066,14.981097221374512,6496
15,101x101,10201,5151,2,2,51.0,51,65,(0.12728484034554782+0j),0.12728484034554782,12.536606311798096,5710
16,101x101,10201,4646,2,2,46.0,46,60,(0.12440241698629231+0.04961269992218735j),0.1339305093905058,10.512134313583374,5565
17,101x101,10201,4141,2,2,41.0,41,57,(0.14476597692059845+0.008031563742281866j),0.14498859986192564,8.731406211853027,5185
18,101x101,10201,3636,2,2,36.0,36,46,(0.16752089681205906+0.00583049301761059j),0.16762233000869828,7.608423948287964,5096
19,101x101,10201,3131,2,2,31.0,31,43,(0.1947314191033809+0j),0.1947314191033809,5.722882270812988,4403
20,102x102,10404,7854,2,2,77.0,77,86,(0.08138701676879581+0.013450563362093422j),0.08249099437685269,28.22986006736756,9117
