,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle
0,100x100,10000,7500,2,2,75.0,75.0,75,83,(0.09317972634710821+0j)
1,100x100,10000,7000,2,2,70.0,70.0,70,80,(0.08163826896278711+0.024042479004168768j)
2,100x100,10000,6500,2,2,65.0,65.0,65,76,(0.10219809020061393+0.023836336277274165j)
3,100x100,10000,6000,2,2,60.0,60.0,60,71,(0.10434344659916436+0.014502849996511018j)
4,100x100,10000,5600,2,2,56.0,56.0,56,66,(0.11205593599002625+0j)
5,100x100,10000,5100,2,2,51.0,51.0,51,60,(0.11278164926650974+0.0031496717513625j)
6,100x100,10000,4600,2,2,46.0,46.0,46,64,(0.12509867198058755+0.07190926949730012j)
7,100x100,10000,4000,2,2,40.0,40.0,40,54,(0.13578653040363245+0j)
8,100x100,10000,3500,2,2,35.0,35.0,35,47,(0.18200595399911107+0j)
9,100x100,10000,3000,2,2,30.0,30.0,30,41,(0.18707980314691341+0.04286876699841405j)
10,101x101,10201,7676,2,2,76.0,76.0,76,87,(0.08088015938121441+0j)
11,101x101,10201,7171,2,2,71.0,71.0,71,84,(0.08631706717708013+0.026050659233792996j)
12,101x101,10201,6666,2,2,66.0,66.0,66,75,(0.09480428160550222+0.05226474083060406j)
13,101x101,10201,6161,2,2,61.0,61.0,61,71,(0.10198451992716812+0j)
14,101x101,10201,5656,2,2,56.0,56.0,56,65,(0.13191030363241066+0j)
15,101x101,10201,5151,2,2,51.0,51.0,51,65,(0.12728484034554782+0j)
16,101x101,10201,4646,2,2,46.0,46.0,46,60,(0.12440241698629231+0.04961269992218735j)
17,101x101,10201,4141,2,2,41.0,41.0,41,57,(0.14476597692059845+0.008031563742281866j)
18,101x101,10201,3636,2,2,36.0,36.0,36,46,(0.16752089681205906+0.00583049301761059j)
19,101x101,10201,3131,2,2,31.0,31.0,31,43,(0.1947314191033809+0j)
20,102x102,10404,7854,2,2,77.0,77.0,77,86,(0.08138701676879581+0.013450563362093422j)
21,102x102,10404,7344,2,2,72.0,72.0,72,83,(0.08924105809646674+0j)
22,102x102,10404,6834,2,2,67.0,67.0,67,79,(0.09855895981789722+0j)
23,102x102,10404,6324,2,2,62.0,62.0,62,74,(0.09819920270412036+0.020384759579891894j)
24,102x102,10404,5814,2,2,57.0,57.0,57,69,(0.12847200786564122+0.038882201621004864j)
25,102x102,10404,5304,2,2,52.0,52.0,52,64,(0.12455495074995977+0j)
26,102x102,10404,4692,2,2,46.0,46.0,46,61,(0.12679746251612725+0.0043548497629079886j)
27,102x102,10404,4182,2,2,41.0,41.0,41,55,(0.1529202274257142+0.03026990977280516j)
28,102x102,10404,3672,2,2,36.0,36.0,36,50,(0.16038330234091394+0.01870975387469993j)
29,102x102,10404,3162,3,2,31.0,31.0,31,46,(0.17307556493052106+0j)
30,103x103,10609,8034,2,2,78.0,78.0,78,91,(0.08321116770513322+0j)
31,103x103,10609,7519,2,2,73.0,73.0,73,85,(0.08714033066197133+0j)
32,103x103,10609,6901,2,2,67.0,67.0,67,80,(0.0994125938427459+0.032713620277479066j)
33,103x103,10609,6386,2,2,62.0,62.0,62,72,(0.10617496009434804+0.016514312724195977j)
34,103x103,10609,5871,2,2,57.0,57.0,57,73,(0.10983329919174006+0.009217594952533454j)
35,103x103,10609,5356,2,2,52.0,52.0,52,62,(0.11580140765336812+0.027707292334626116j)
36,103x103,10609,4841,2,2,47.0,47.0,47,62,(0.13465811132011887+0.03142717185426072j)
37,103x103,10609,4326,2,2,42.0,42.0,42,56,(0.1568434935829999+0j)
38,103x103,10609,3811,2,2,37.0,37.0,37,52,(0.1614271771516458+0j)
39,103x103,10609,3193,2,2,31.0,31.0,31,42,(0.17111600451471193+0.031600008228158956j)
40,104x104,10816,8112,2,2,78.0,78.0,78,92,(0.08690549014906992+0j)
41,104x104,10816,7592,2,2,73.0,73.0,73,82,(0.08580663126691601+0.006826002733606449j)
42,104x104,10816,7072,2,2,68.0,68.0,68,80,(0.10110580158919964+0.013207142185876018j)
43,104x104,10816,6552,2,2,63.0,63.0,63,77,(0.10097397799576016+0j)
44,104x104,10816,6032,2,2,58.0,58.0,58,70,(0.12172273415376345+0j)
45,104x104,10816,5512,2,2,53.0,53.0,53,65,(0.13225093808492502+0j)
46,104x104,10816,4888,2,2,47.0,47.0,47,64,(0.1235567441773941+0.045128454478017714j)
47,104x104,10816,4368,2,2,42.0,42.0,42,56,(0.14998424012401118+0j)
48,104x104,10816,3848,2,2,37.0,37.0,37,54,(0.17649399924933398+0j)
49,104x104,10816,3328,2,2,32.0,32.0,32,47,(0.17219370198904882+0j)
50,105x105,11025,8295,2,2,79.0,79.0,79,87,(0.07787799556622468+0.02518061030409374j)
51,105x105,11025,7770,2,2,74.0,74.0,74,84,(0.08923360101794912+0j)
52,105x105,11025,7245,2,2,69.0,69.0,69,81,(0.10360255265105556+0j)
53,105x105,11025,6615,2,2,63.0,63.0,63,77,(0.10074533979223543+0.03509617190697903j)
54,105x105,11025,6090,2,2,58.0,58.0,58,70,(0.12297475693108223+0j)
55,105x105,11025,5565,2,2,53.0,53.0,53,66,(0.11728928279054343+0j)
56,105x105,11025,5040,2,2,48.0,48.0,48,63,(0.13366917467436082+0.016985761965812942j)
57,105x105,11025,4410,2,2,42.0,42.0,42,55,(0.16606801704485094+0j)
58,105x105,11025,3885,2,2,37.0,37.0,37,49,(0.14975976167385674+0j)
59,105x105,11025,3360,3,2,32.0,32.0,32,44,(0.17387329118358366+0.0893561354560588j)
60,106x106,11236,8480,2,2,80.0,80.0,80,88,(0.08718903828979316+0j)
61,106x106,11236,7950,2,2,75.0,75.0,75,89,(0.08959685459873111+0j)
62,106x106,11236,7314,2,2,69.0,69.0,69,78,(0.09708851876052911+0.012128504651291583j)
63,106x106,11236,6784,2,2,64.0,64.0,64,80,(0.10263634656845227+0.009964219296632014j)
64,106x106,11236,6254,2,2,59.0,59.0,59,73,(0.12613912583229528+0j)
65,106x106,11236,5724,2,2,54.0,54.0,54,71,(0.11231525974604267+0j)
66,106x106,11236,5088,2,2,48.0,48.0,48,59,(0.14697144257480232+0j)
67,106x106,11236,4558,2,2,43.0,43.0,43,55,(0.1498841416784744+0j)
68,106x106,11236,4028,2,2,38.0,38.0,38,51,(0.17558081012423615+0j)
69,106x106,11236,3392,2,2,32.0,32.0,32,44,(0.16624982153460038+0j)
70,107x107,11449,8667,2,2,81.0,81.0,81,90,(0.07819636927429877+0.040587164181866475j)
71,107x107,11449,8025,2,2,75.0,75.0,75,86,(0.09052879297586923+0j)
72,107x107,11449,7490,2,2,70.0,70.0,70,82,(0.08705596672258306+0j)
73,107x107,11449,6955,2,2,65.0,65.0,65,75,(0.10201445262873998+0.0015862590833381277j)
74,107x107,11449,6313,2,2,59.0,59.0,59,74,(0.11750885651496863+0j)
75,107x107,11449,5778,2,2,54.0,54.0,54,65,(0.11008347320276109+0j)
76,107x107,11449,5243,2,2,49.0,49.0,49,59,(0.14431648475803982+0j)
77,107x107,11449,4601,2,2,43.0,43.0,43,55,(0.14205886917458985+0j)
78,107x107,11449,4066,2,2,38.0,38.0,38,50,(0.1530646717744956+0j)
79,107x107,11449,3531,2,2,33.0,33.0,33,45,(0.16660631316973454+0j)
80,108x108,11664,8748,2,2,81.0,81.0,81,92,(0.08381885574246224+0.01343225595713449j)
81,108x108,11664,8208,2,2,76.0,76.0,76,90,(0.08905122571729207+0.022636742644891388j)
82,108x108,11664,7668,2,2,71.0,71.0,71,83,(0.08481043818237695+0j)
83,108x108,11664,7020,2,2,65.0,65.0,65,78,(0.11525050256178673+0.020910055832389765j)
84,108x108,11664,6480,2,2,60.0,60.0,60,71,(0.11175400040121494+0j)
85,108x108,11664,5940,2,2,55.0,55.0,55,70,(0.11341698474306394+0j)
86,108x108,11664,5292,2,2,49.0,49.0,49,61,(0.1283933573045644+0j)
87,108x108,11664,4752,2,2,44.0,44.0,44,54,(0.1504621164437425+0.023355633924812862j)
88,108x108,11664,4104,2,2,38.0,38.0,38,50,(0.15983126915808116+0.055460695864154246j)
89,108x108,11664,3564,2,2,33.0,33.0,33,44,(0.1669350699576981+0j)
90,109x109,11881,8938,2,2,82.0,82.0,82,91,(0.07979728107159634+0.020987149343299972j)
91,109x109,11881,8393,2,2,77.0,77.0,77,90,(0.09080950694237493+0j)
92,109x109,11881,7739,2,2,71.0,71.0,71,87,(0.09447630713056432+0.022785824721031692j)
93,109x109,11881,7194,2,2,66.0,66.0,66,78,(0.10461317021973413+0j)
94,109x109,11881,6540,2,2,60.0,60.0,60,72,(0.10691549124600833+0.01014757654292836j)
95,109x109,11881,5995,2,2,55.0,55.0,55,66,(0.112588089948176+0.05020938987353696j)
96,109x109,11881,5450,2,2,50.0,50.0,50,62,(0.11208074061245277+0.027756915239273067j)
97,109x109,11881,4796,2,2,44.0,44.0,44,56,(0.1474046187777365+0j)
98,109x109,11881,4251,2,2,39.0,39.0,39,49,(0.1504789624378592+0.05713287435870264j)
99,109x109,11881,3597,2,2,33.0,33.0,33,44,(0.16203967001685926+0j)
100,10x10,100,80,2,2,8.0,8.0,8,9,(0.31180631700964195+0j)
101,10x10,100,70,2,2,7.0,7.0,7,9,(0.17898678296217307+0.036399521576494676j)
102,10x10,100,70,2,2,7.0,7.0,7,8,(0.43964389665988957+0j)
103,10x10,100,70,2,2,7.0,7.0,7,8,(0.315775467253995+0j)
104,10x10,100,60,2,2,6.0,6.0,6,9,(0.36040034268830057+0j)
105,10x10,100,60,2,2,6.0,6.0,6,7,(0.3945255991243902+0.006195261708392337j)
106,10x10,100,50,3,2,5.0,5.0,5,8,(0.45139823519233774+0j)
107,10x10,100,40,3,2,4.0,4.0,4,6,(0.4987248148767718+0.13706139158118283j)
108,10x10,100,40,3,2,4.0,4.0,4,7,(0.5562451873925771+0j)
109,10x10,100,30,3,3,3.0,3.0,3,5,(0.41006754598444545+0j)
110,110x110,12100,9130,2,2,83.0,83.0,83,96,(0.08158717738461926+0.014026311512066559j)
111,110x110,12100,8470,2,2,77.0,77.0,77,88,(0.08786449298178335+0j)
112,110x110,12100,7920,2,2,72.0,72.0,72,84,(0.08860193546632368+0j)
113,110x110,12100,7370,2,2,67.0,67.0,67,80,(0.09328670015718557+0.012916664503773918j)
114,110x110,12100,6710,2,2,61.0,61.0,61,73,(0.12662445155445093+0j)
115,110x110,12100,6160,2,2,56.0,56.0,56,69,(0.12733790016474056+0j)
116,110x110,12100,5500,2,2,50.0,50.0,50,60,(0.11922592274427177+0.022603462299643898j)
117,110x110,12100,4840,2,2,44.0,44.0,44,56,(0.15269502959716544+0j)
118,110x110,12100,4290,2,2,39.0,39.0,39,55,(0.16080794017024336+0.029916719125242887j)
119,110x110,12100,3630,2,2,33.0,33.0,33,52,(0.16071864108286998+0.05492467582461582j)
120,111x111,12321,9324,2,2,84.0,84.0,84,97,(0.08360351507938427+0j)
121,111x111,12321,8658,2,2,78.0,78.0,78,95,(0.08472661630062306+0.009313181817458164j)
122,111x111,12321,8103,2,2,73.0,73.0,73,85,(0.09084959353452368+0.033088993172746245j)
123,111x111,12321,7437,2,2,67.0,67.0,67,80,(0.10525808258845429+0j)
124,111x111,12321,6882,2,2,62.0,62.0,62,72,(0.1066916970803963+0.0192123664085165j)
125,111x111,12321,6216,2,2,56.0,56.0,56,70,(0.10571927235244497+0.03772404216627086j)
126,111x111,12321,5550,2,2,50.0,50.0,50,59,(0.126487785904208+0.031175521077451328j)
127,111x111,12321,4995,2,2,45.0,45.0,45,55,(0.15372740586183234+0j)
128,111x111,12321,4329,2,2,39.0,39.0,39,53,(0.16998457748024096+0j)
129,111x111,12321,3774,2,2,34.0,34.0,34,46,(0.1541172592528669+0.04981570320700659j)
130,112x112,12544,9408,2,2,84.0,84.0,84,94,(0.07618073505546413+0j)
131,112x112,12544,8848,2,2,79.0,79.0,79,89,(0.08762764437805023+0.018127899665462154j)
132,112x112,12544,8176,2,2,73.0,73.0,73,87,(0.09385615871613393+0j)
133,112x112,12544,7616,2,2,68.0,68.0,68,80,(0.10691185839365809+0j)
134,112x112,12544,6944,2,2,62.0,62.0,62,73,(0.10292200356413174+0.021838706977761774j)
135,112x112,12544,6384,2,2,57.0,57.0,57,68,(0.11920041824507543+0.0037900576170319784j)
136,112x112,12544,5712,2,2,51.0,51.0,51,65,(0.1339451124184187+0.02964451632454427j)
137,112x112,12544,5040,2,2,45.0,45.0,45,59,(0.13185203307970095+0.006630101439959552j)
138,112x112,12544,4480,2,2,40.0,40.0,40,55,(0.1461938790766681+0.040985737639769954j)
139,112x112,12544,3808,2,2,34.0,34.0,34,49,(0.1833127449166955+0j)
140,113x113,12769,9605,2,2,85.0,85.0,85,97,(0.08041634406276948+0j)
141,113x113,12769,9040,2,2,80.0,80.0,80,92,(0.0839440172646736+0.006168580219041585j)
142,113x113,12769,8362,2,2,74.0,74.0,74,85,(0.095025870738703+0j)
143,113x113,12769,7684,2,2,68.0,68.0,68,80,(0.10076710274525753+0.01423506807872077j)
144,113x113,12769,7119,2,2,63.0,63.0,63,78,(0.11148455670169839+0j)
145,113x113,12769,6441,2,2,57.0,57.0,57,71,(0.116811668726935+0j)
146,113x113,12769,5763,2,2,51.0,51.0,51,64,(0.1278826669398793+0j)
147,113x113,12769,5198,2,2,46.0,46.0,46,61,(0.1293186623978706+0.01718161017425139j)
148,113x113,12769,4520,2,2,40.0,40.0,40,50,(0.15991276671206633+0.01510469876569216j)
149,113x113,12769,3842,3,2,34.0,34.0,34,48,(0.18143853380720745+0j)
150,114x114,12996,9804,2,2,86.0,86.0,86,99,(0.07371667430902483+0j)
151,114x114,12996,9120,2,2,80.0,80.0,80,91,(0.09048250235193407+0j)
152,114x114,12996,8550,2,2,75.0,75.0,75,86,(0.09058672683365816+0j)
153,114x114,12996,7866,2,2,69.0,69.0,69,81,(0.09284837715925746+0.04070355716736843j)
154,114x114,12996,7182,2,2,63.0,63.0,63,73,(0.1128836329946788+0.026098780432496513j)
155,114x114,12996,6612,2,2,58.0,58.0,58,72,(0.11412127797648816+0.021627046418324122j)
156,114x114,12996,5928,2,2,52.0,52.0,52,64,(0.13483556228686205+0j)
157,114x114,12996,5244,2,2,46.0,46.0,46,61,(0.1269493017368995+0.03151847401854997j)
158,114x114,12996,4560,2,2,40.0,40.0,40,52,(0.15405724009145885+0j)
159,114x114,12996,3990,2,2,35.0,35.0,35,54,(0.1743869986621166+0.028095386369600153j)
160,115x115,13225,10005,2,2,87.0,87.0,87,101,(0.07433278475517696+0.006752062751210896j)
161,115x115,13225,9315,2,2,81.0,81.0,81,93,(0.08533371001692361+0.024478333412589214j)
162,115x115,13225,8625,2,2,75.0,75.0,75,85,(0.08902944796087023+0.01318917457707233j)
163,115x115,13225,8050,2,2,70.0,70.0,70,84,(0.10058386207093864+0j)
164,115x115,13225,7360,2,2,64.0,64.0,64,78,(0.10610267728902484+0.014442741280455059j)
165,115x115,13225,6670,2,2,58.0,58.0,58,70,(0.134323246673075+0j)
166,115x115,13225,5980,2,2,52.0,52.0,52,69,(0.13033536473210797+0j)
167,115x115,13225,5290,2,2,46.0,46.0,46,58,(0.12682623205179291+0.008438995430337246j)
168,115x115,13225,4715,2,2,41.0,41.0,41,58,(0.154504654170371+0j)
169,115x115,13225,4025,2,2,35.0,35.0,35,46,(0.17540800880868962+0j)
170,116x116,13456,10092,2,2,87.0,87.0,87,98,(0.08196552831320743+0j)
171,116x116,13456,9512,2,2,82.0,82.0,82,92,(0.08276975219757904+0j)
172,116x116,13456,8816,2,2,76.0,76.0,76,88,(0.09471381065177492+0.00409316799123106j)
173,116x116,13456,8120,2,2,70.0,70.0,70,81,(0.09643758039365236+0j)
174,116x116,13456,7424,2,2,64.0,64.0,64,84,(0.1076077559614254+0j)
175,116x116,13456,6844,2,2,59.0,59.0,59,72,(0.11253462448413536+0j)
176,116x116,13456,6148,2,2,53.0,53.0,53,65,(0.1267063079891836+0.01036728709615089j)
177,116x116,13456,5452,2,2,47.0,47.0,47,60,(0.1400892485226249+0.047131276843044016j)
178,116x116,13456,4756,2,2,41.0,41.0,41,53,(0.1500027283294132+0.019134584506646152j)
