,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle
0,100x100,10000,7431,2,2,74.31,74.31,75,83,(0.08895693838301524+0.027448958544534018j)
1,100x100,10000,7435,2,2,74.35,74.35,75,84,(0.09053862876100735+0j)
2,100x100,10000,7421,2,2,74.21,74.21,75,83,(0.08404786084936003+0j)
3,100x100,10000,7429,2,2,74.29,74.29,75,83,(0.08062408923969794+0.011929065145551102j)
4,100x100,10000,7423,2,2,74.23,74.23,75,85,(0.08762860038968152+0j)
5,100x100,10000,7432,2,2,74.32,74.32,75,88,(0.09493901962193044+0j)
6,100x100,10000,7419,2,2,74.19,74.19,75,85,(0.09534696900847758+0.019937343869398366j)
7,100x100,10000,7427,2,2,74.27,74.27,75,85,(0.09306046062768777+0j)
8,100x100,10000,7429,2,2,74.29,74.29,75,87,(0.0936233042821562+0j)
9,100x100,10000,7419,2,2,74.19,74.19,75,86,(0.07958755051409788+0.022665176424883148j)
10,101x101,10201,7587,2,2,75.11881188118812,75.11881188118812,76,87,(0.08422600739212424+0.024338794508733618j)
11,101x101,10201,7605,2,2,75.29702970297029,75.29702970297029,76,85,(0.09576639426607889+0j)
12,101x101,10201,7612,2,2,75.36633663366337,75.36633663366337,76,86,(0.08233022203331772+0.014044487797405426j)
13,101x101,10201,7611,2,2,75.35643564356435,75.35643564356435,76,87,(0.08927261622757664+0j)
14,101x101,10201,7608,2,2,75.32673267326733,75.32673267326733,76,88,(0.08680713463893369+0.003744773427654526j)
15,101x101,10201,7589,2,2,75.13861386138613,75.13861386138613,76,86,(0.08048218756628528+0.002801564940534368j)
16,101x101,10201,7592,2,2,75.16831683168317,75.16831683168317,76,86,(0.09246717897900653+0j)
17,101x101,10201,7603,2,2,75.27722772277228,75.27722772277228,76,86,(0.08951866353035812+0.03123003289131396j)
18,101x101,10201,7606,2,2,75.3069306930693,75.3069306930693,76,86,(0.08459246391666844+0.009411677836900964j)
19,101x101,10201,7616,2,2,75.4059405940594,75.4059405940594,76,88,(0.08615878357429996+0.023350714770297553j)
20,102x102,10404,7775,2,2,76.22549019607843,76.22549019607843,77,88,(0.0799894433516499+0.018869847254496454j)
21,102x102,10404,7786,2,2,76.33333333333333,76.33333333333333,77,87,(0.08173389940380557+0.03189003883581937j)
22,102x102,10404,7780,2,2,76.27450980392157,76.27450980392157,77,88,(0.08498694732599452+0j)
23,102x102,10404,7768,2,2,76.15686274509804,76.15686274509804,77,85,(0.08284793074293906+0j)
24,102x102,10404,7789,2,2,76.36274509803921,76.36274509803921,77,92,(0.08744727548056004+0.020740218096499584j)
25,102x102,10404,7782,2,2,76.29411764705883,76.29411764705883,77,86,(0.08482956909403039+0j)
26,102x102,10404,7773,2,2,76.20588235294117,76.20588235294117,77,87,(0.08946620585089227+0j)
27,102x102,10404,7773,2,2,76.20588235294117,76.20588235294117,77,85,(0.08718289545342427+0.007324143502308118j)
28,102x102,10404,7774,2,2,76.2156862745098,76.2156862745098,77,88,(0.08733974803318842+0.01036489574010834j)
29,102x102,10404,7774,2,2,76.2156862745098,76.2156862745098,77,87,(0.08331305382682211+0.015574629012197073j)
30,103x103,10609,7956,2,2,77.24271844660194,77.24271844660194,78,88,(0.08434015724853701+0j)
31,103x103,10609,7952,2,2,77.20388349514563,77.20388349514563,78,88,(0.08712938785130202+0j)
32,103x103,10609,7951,2,2,77.19417475728156,77.19417475728156,78,89,(0.08972143597124721+0.010160507111199554j)
33,103x103,10609,7949,2,2,77.1747572815534,77.1747572815534,78,88,(0.08375984170891745+0.012202746388578059j)
34,103x103,10609,7961,2,2,77.29126213592232,77.29126213592232,78,88,(0.08955482279127508+0j)
35,103x103,10609,7956,2,2,77.24271844660194,77.24271844660194,78,87,(0.08660656225994814+0.01585299827420002j)
36,103x103,10609,7950,2,2,77.18446601941747,77.18446601941747,78,89,(0.0884763100795224+0j)
37,103x103,10609,7948,2,2,77.16504854368932,77.16504854368932,78,85,(0.07955014868917562+0.014532217628618971j)
38,103x103,10609,7954,2,2,77.22330097087378,77.22330097087378,78,87,(0.09216588020902797+0j)
39,103x103,10609,7958,2,2,77.2621359223301,77.2621359223301,78,88,(0.0941351602540736+0j)
40,104x104,10816,8036,2,2,77.26923076923077,77.26923076923077,78,87,(0.08394373831974704+0j)
41,104x104,10816,8036,2,2,77.26923076923077,77.26923076923077,78,87,(0.09756044503774461+0j)
42,104x104,10816,8053,2,2,77.4326923076923,77.4326923076923,78,91,(0.087042213205071+0.011957225496811939j)
43,104x104,10816,8043,2,2,77.33653846153847,77.33653846153847,78,86,(0.07827289866659523+0.002407699488125513j)
44,104x104,10816,8032,2,2,77.23076923076923,77.23076923076923,78,89,(0.09172911235057704+0j)
45,104x104,10816,8034,2,2,77.25,77.25,78,92,(0.09688551802028195+0j)
46,104x104,10816,8043,2,2,77.33653846153847,77.33653846153847,78,90,(0.08765216750715007+0j)
47,104x104,10816,8044,2,2,77.34615384615384,77.34615384615384,78,86,(0.08511018903101181+0j)
48,104x104,10816,8033,2,2,77.24038461538461,77.24038461538461,78,88,(0.08109437562968805+0j)
49,104x104,10816,8025,2,2,77.16346153846153,77.16346153846153,78,87,(0.0830861177129285+0j)
50,105x105,11025,8213,2,2,78.21904761904761,78.21904761904761,79,88,(0.08263905082393097+0j)
51,105x105,11025,8222,2,2,78.3047619047619,78.3047619047619,79,88,(0.08874092088150738+0j)
52,105x105,11025,8212,2,2,78.20952380952382,78.20952380952382,79,91,(0.08219514626369553+0.003595708111973854j)
53,105x105,11025,8204,2,2,78.13333333333334,78.13333333333334,79,90,(0.08234135311678405+0.005867882312571974j)
54,105x105,11025,8214,2,2,78.22857142857143,78.22857142857143,79,89,(0.09211468973102072+0.001056424336668543j)
55,105x105,11025,8199,2,2,78.08571428571429,78.08571428571429,79,88,(0.08347834315946945+0.007896157831126755j)
56,105x105,11025,8215,2,2,78.23809523809524,78.23809523809524,79,88,(0.09071060611455944+0.011309277550543867j)
57,105x105,11025,8218,2,2,78.26666666666667,78.26666666666667,79,91,(0.08345384636485889+0.018879176002164436j)
58,105x105,11025,8215,2,2,78.23809523809524,78.23809523809524,79,89,(0.0862067287690973+0j)
59,105x105,11025,8209,2,2,78.18095238095238,78.18095238095238,79,91,(0.08717798673010185+0.03615857200401108j)
60,106x106,11236,8404,2,2,79.28301886792453,79.28301886792453,80,92,(0.09489438360693339+0j)
61,106x106,11236,8405,2,2,79.29245283018868,79.29245283018868,80,91,(0.0871510340311909+0j)
62,106x106,11236,8403,2,2,79.27358490566037,79.27358490566037,80,90,(0.08541559864907686+0.01700849615336176j)
63,106x106,11236,8397,2,2,79.21698113207547,79.21698113207547,80,89,(0.08997616411010649+0j)
64,106x106,11236,8415,2,2,79.38679245283019,79.38679245283019,80,91,(0.08340561766398075+0.02334358450987094j)
65,106x106,11236,8384,2,2,79.09433962264151,79.09433962264151,80,88,(0.08656053045075021+0j)
66,106x106,11236,8386,2,2,79.11320754716981,79.11320754716981,80,88,(0.0800557608921269+0.015379414622399636j)
67,106x106,11236,8394,2,2,79.18867924528301,79.18867924528301,80,91,(0.08579517106431975+0j)
68,106x106,11236,8395,2,2,79.19811320754717,79.19811320754717,80,91,(0.07751650816331956+0.02886315914336605j)
69,106x106,11236,8392,2,2,79.16981132075472,79.16981132075472,80,90,(0.08071573781829815+0.016160295147984574j)
70,107x107,11449,8597,2,2,80.34579439252336,80.34579439252336,81,91,(0.0822313894216509+0.008431004705934077j)
71,107x107,11449,8572,2,2,80.11214953271028,80.11214953271028,81,95,(0.08055188582320302+0.017413129084347615j)
72,107x107,11449,8586,2,2,80.24299065420561,80.24299065420561,81,91,(0.08491282054092833+0.007763020419378257j)
73,107x107,11449,8590,2,2,80.2803738317757,80.2803738317757,81,92,(0.07995958188020968+0j)
74,107x107,11449,8579,2,2,80.17757009345794,80.17757009345794,81,91,(0.08581612987699094+0.020710932417036136j)
75,107x107,11449,8585,2,2,80.23364485981308,80.23364485981308,81,92,(0.0756521787375399+0.020069198957292058j)
76,107x107,11449,8587,2,2,80.25233644859813,80.25233644859813,81,91,(0.08736264291521985+0j)
77,107x107,11449,8597,2,2,80.34579439252336,80.34579439252336,81,90,(0.08312730396345919+0.01258654592174153j)
78,107x107,11449,8591,2,2,80.28971962616822,80.28971962616822,81,96,(0.08224761491830564+0j)
