,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle
0,100x100,10000,2478,3,2,24.78,24.78,25,37,(0.21187732268301696+0.024200600784054165j)
1,100x100,10000,2477,3,2,24.77,24.77,25,34,(0.207416790275042+0j)
2,100x100,10000,2479,3,2,24.79,24.79,25,37,(0.20443971540344927+0j)
3,100x100,10000,2476,3,2,24.76,24.76,25,35,(0.20649761193969937+0.034770059197632895j)
4,100x100,10000,2477,3,2,24.77,24.77,25,35,(0.2042627163674459+0j)
5,100x100,10000,2483,3,2,24.83,24.83,25,37,(0.19884846809013673+0j)
6,100x100,10000,2474,3,2,24.74,24.74,25,37,(0.20901471607408267+0.009101201576056704j)
7,100x100,10000,2470,3,2,24.7,24.7,25,37,(0.19815898157946743+0.03761919055630065j)
8,100x100,10000,2485,3,2,24.85,24.85,25,41,(0.1966429228220993+0.027620732573909283j)
9,100x100,10000,2472,3,2,24.72,24.72,25,39,(0.18864815218964376+0.04751591402604601j)
10,101x101,10201,2594,3,2,25.683168316831683,25.683168316831683,26,37,(0.1769988044560425+0.052287364499611313j)
11,101x101,10201,2609,3,2,25.831683168316832,25.831683168316832,26,39,(0.22121121369214397+0j)
12,101x101,10201,2604,3,2,25.782178217821784,25.782178217821784,26,38,(0.1853756950520919+0.02564811678761773j)
13,101x101,10201,2607,3,2,25.81188118811881,25.81188118811881,26,39,(0.19944685430434292+0j)
14,101x101,10201,2588,3,2,25.623762376237625,25.623762376237625,26,36,(0.20180601822661615+0.04993834115069868j)
15,101x101,10201,2598,3,2,25.722772277227723,25.722772277227723,26,39,(0.19247088148891023+0.015846135391642136j)
16,101x101,10201,2604,3,2,25.782178217821784,25.782178217821784,26,37,(0.22447664089980415+0j)
17,101x101,10201,2607,3,2,25.81188118811881,25.81188118811881,26,39,(0.2150022772076229+0j)
18,101x101,10201,2602,3,2,25.762376237623762,25.762376237623762,26,38,(0.20816999151026352+0.0046826328189865825j)
19,101x101,10201,2598,3,2,25.722772277227723,25.722772277227723,26,33,(0.21601856930924168+0j)
20,102x102,10404,2629,3,2,25.774509803921568,25.774509803921568,26,37,(0.2222189198029529+0j)
21,102x102,10404,2629,3,2,25.774509803921568,25.774509803921568,26,38,(0.1934364348502496+0j)
22,102x102,10404,2633,3,2,25.813725490196077,25.813725490196077,26,38,(0.19767334824080518+0.07602174694992943j)
23,102x102,10404,2623,3,2,25.715686274509803,25.715686274509803,26,36,(0.20370312043615707+0j)
24,102x102,10404,2626,3,2,25.745098039215687,25.745098039215687,26,37,(0.182723739614472+0j)
25,102x102,10404,2626,3,2,25.745098039215687,25.745098039215687,26,36,(0.22191574190610314+0j)
26,102x102,10404,2626,3,2,25.745098039215687,25.745098039215687,26,35,(0.19622078817941174+0.007736969747561079j)
27,102x102,10404,2616,3,2,25.647058823529413,25.647058823529413,26,38,(0.19350159749393037+0.03252831246295407j)
28,102x102,10404,2627,3,2,25.754901960784313,25.754901960784313,26,44,(0.19442026583021604+0.006427703867653878j)
29,102x102,10404,2624,3,2,25.725490196078432,25.725490196078432,26,37,(0.19502495971934117+0.06455020604347898j)
30,103x103,10609,2648,3,2,25.70873786407767,25.70873786407767,26,36,(0.21828834500801875+0.05554050450533058j)
31,103x103,10609,2656,3,2,25.78640776699029,25.78640776699029,26,38,(0.18979441564044328+0.025884850292193128j)
32,103x103,10609,2655,3,2,25.776699029126213,25.776699029126213,26,35,(0.20332592949022213+0j)
33,103x103,10609,2657,3,2,25.796116504854368,25.796116504854368,26,37,(0.19841450500270455+0.037804719593947995j)
34,103x103,10609,2659,3,2,25.815533980582526,25.815533980582526,26,37,(0.20847757930188576+0j)
35,103x103,10609,2651,3,2,25.737864077669904,25.737864077669904,26,35,(0.20480545733289313+0.023180561531856738j)
36,103x103,10609,2651,3,2,25.737864077669904,25.737864077669904,26,38,(0.19038819929284007+0.05167523370451696j)
37,103x103,10609,2654,3,2,25.766990291262136,25.766990291262136,26,36,(0.21462984918057484+0j)
38,103x103,10609,2651,3,2,25.737864077669904,25.737864077669904,26,40,(0.18952352128612224+0.011717055949071537j)
39,103x103,10609,2651,3,2,25.737864077669904,25.737864077669904,26,37,(0.22754644848456154+0j)
40,104x104,10816,2670,3,2,25.673076923076923,25.673076923076923,26,36,(0.20440712384938806+0j)
41,104x104,10816,2677,3,2,25.740384615384617,25.740384615384617,26,35,(0.20495084868605518+0.0401017042060569j)
42,104x104,10816,2675,3,2,25.721153846153847,25.721153846153847,26,34,(0.19554569172402622+0j)
43,104x104,10816,2685,3,2,25.817307692307693,25.817307692307693,26,37,(0.17945319764675605+0.022418260324712554j)
44,104x104,10816,2674,3,2,25.71153846153846,25.71153846153846,26,34,(0.19670287634710482+0j)
45,104x104,10816,2673,3,2,25.701923076923077,25.701923076923077,26,38,(0.1946757073100128+0.013405682947205967j)
46,104x104,10816,2677,3,2,25.740384615384617,25.740384615384617,26,36,(0.20660757510659686+0.011782532841638996j)
47,104x104,10816,2672,3,2,25.692307692307693,25.692307692307693,26,36,(0.21640541332693142+0.03619953235759804j)
48,104x104,10816,2676,3,2,25.73076923076923,25.73076923076923,26,37,(0.19496149629853915+0.04192797567603883j)
49,104x104,10816,2672,3,2,25.692307692307693,25.692307692307693,26,38,(0.21491335650310905+0j)
50,105x105,11025,2799,3,2,26.65714285714286,26.65714285714286,27,36,(0.18784661500846883+0j)
51,105x105,11025,2798,3,2,26.64761904761905,26.64761904761905,27,38,(0.2096973651871086+0.013964399387284067j)
52,105x105,11025,2805,3,2,26.714285714285715,26.714285714285715,27,38,(0.20109467958378602+0j)
53,105x105,11025,2809,3,2,26.752380952380953,26.752380952380953,27,38,(0.20290623668467495+0.07748212393683693j)
54,105x105,11025,2807,3,2,26.733333333333334,26.733333333333334,27,38,(0.1895167322451401+0.04225446883785052j)
55,105x105,11025,2805,3,2,26.714285714285715,26.714285714285715,27,39,(0.17677863586031212+0.021744608557353242j)
56,105x105,11025,2812,3,2,26.78095238095238,26.78095238095238,27,39,(0.18605661866500772+0j)
57,105x105,11025,2815,3,2,26.80952380952381,26.80952380952381,27,38,(0.20833546157376348+0j)
58,105x105,11025,2805,3,2,26.714285714285715,26.714285714285715,27,36,(0.1857116771127046+0.104856655882268j)
59,105x105,11025,2811,3,2,26.771428571428572,26.771428571428572,27,37,(0.1983470026564154+0j)
60,106x106,11236,2828,3,2,26.67924528301887,26.67924528301887,27,38,(0.19273825272662706+0j)
61,106x106,11236,2836,3,2,26.754716981132077,26.754716981132077,27,38,(0.19443733515539668+0.056986210851340396j)
62,106x106,11236,2833,3,2,26.72641509433962,26.72641509433962,27,41,(0.1882747517535307+0.03512969685149156j)
63,106x106,11236,2833,3,2,26.72641509433962,26.72641509433962,27,37,(0.19795371235272888+0.011433284748320883j)
64,106x106,11236,2826,3,2,26.660377358490567,26.660377358490567,27,37,(0.20388040587358197+0.04613648508888836j)
65,106x106,11236,2834,3,2,26.735849056603772,26.735849056603772,27,37,(0.20696074659043062+0.041926113392958236j)
66,106x106,11236,2819,3,2,26.59433962264151,26.59433962264151,27,40,(0.19443874993900878+0.027542194599991437j)
67,106x106,11236,2831,3,2,26.70754716981132,26.70754716981132,27,36,(0.1865787331547249+0.03265541633481851j)
68,106x106,11236,2836,3,2,26.754716981132077,26.754716981132077,27,39,(0.22168150422601793+0.06807804026751818j)
69,106x106,11236,2822,3,2,26.62264150943396,26.62264150943396,27,39,(0.17678780977334768+0.0824885935140394j)
70,107x107,11449,2869,3,2,26.813084112149532,26.813084112149532,27,38,(0.1841397587190618+0j)
71,107x107,11449,2854,3,2,26.672897196261683,26.672897196261683,27,38,(0.21153393920649383+0j)
72,107x107,11449,2867,2,2,26.794392523364486,26.794392523364486,27,38,(0.1749189385617177+0.06031578763550858j)
73,107x107,11449,2864,3,2,26.766355140186917,26.766355140186917,27,37,(0.19829972478920296+0j)
74,107x107,11449,2858,3,2,26.710280373831775,26.710280373831775,27,38,(0.18557136854988077+0j)
75,107x107,11449,2851,3,2,26.64485981308411,26.64485981308411,27,38,(0.2068335145016608+0j)
76,107x107,11449,2856,3,2,26.69158878504673,26.69158878504673,27,37,(0.19137643575225+0.03329811181973651j)
77,107x107,11449,2865,3,2,26.77570093457944,26.77570093457944,27,38,(0.17898236827087421+0.08503379181066138j)
78,107x107,11449,2865,3,2,26.77570093457944,26.77570093457944,27,38,(0.2197136506328273+0j)
79,107x107,11449,2852,3,2,26.654205607476637,26.654205607476637,27,35,(0.18687533112828786+0.032852556694681526j)
80,108x108,11664,2897,3,2,26.824074074074073,26.824074074074073,27,39,(0.19269408091021753+0.04852434159791174j)
