,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle,convergence_speed
0,100x100,10000,7500,2,2,75.0,75.0,75,83,(0.09317972634710821+0j),32.13455033302307
1,100x100,10000,7000,2,2,70.0,70.0,70,80,(0.08163826896278711+0.024042479004168768j),26.2088725566864
2,100x100,10000,6500,2,2,65.0,65.0,65,76,(0.10219809020061393+0.023836336277274165j),29.147141218185425
3,100x100,10000,6000,2,2,60.0,60.0,60,71,(0.10434344659916436+0.014502849996511018j),19.011670112609863
4,100x100,10000,5600,2,2,56.0,56.0,56,66,(0.11205593599002625+0j),18.546486616134644
5,100x100,10000,5100,2,2,51.0,51.0,51,60,(0.11278164926650974+0.0031496717513625j),14.126497030258179
6,100x100,10000,4600,2,2,46.0,46.0,46,64,(0.12509867198058755+0.07190926949730012j),10.712828636169434
7,100x100,10000,4000,2,2,40.0,40.0,40,54,(0.13578653040363245+0j),10.537311315536499
8,100x100,10000,3500,2,2,35.0,35.0,35,47,(0.18200595399911107+0j),6.942129373550415
9,100x100,10000,3000,2,2,30.0,30.0,30,41,(0.18707980314691341+0.04286876699841405j),6.0974462032318115
10,101x101,10201,7676,2,2,76.0,76.0,76,87,(0.08088015938121441+0j),29.020004272460938
11,101x101,10201,7171,2,2,71.0,71.0,71,84,(0.08631706717708013+0.026050659233792996j),26.149254322052002
12,101x101,10201,6666,2,2,66.0,66.0,66,75,(0.09480428160550222+0.05226474083060406j),20.75897192955017
13,101x101,10201,6161,2,2,61.0,61.0,61,71,(0.10198451992716812+0j),18.9249210357666
14,101x101,10201,5656,2,2,56.0,56.0,56,65,(0.13191030363241066+0j),15.639297008514404
15,101x101,10201,5151,2,2,51.0,51.0,51,65,(0.12728484034554782+0j),12.731569051742554
16,101x101,10201,4646,2,2,46.0,46.0,46,60,(0.12440241698629231+0.04961269992218735j),12.27188515663147
17,101x101,10201,4141,2,2,41.0,41.0,41,57,(0.14476597692059845+0.008031563742281866j),10.890256643295288
18,101x101,10201,3636,2,2,36.0,36.0,36,46,(0.16752089681205906+0.00583049301761059j),8.27251410484314
19,101x101,10201,3131,2,2,31.0,31.0,31,43,(0.1947314191033809+0j),6.2150843143463135
20,102x102,10404,7854,2,2,77.0,77.0,77,86,(0.08138701676879581+0.013450563362093422j),30.903908014297485
21,102x102,10404,7344,2,2,72.0,72.0,72,83,(0.08924105809646674+0j),26.56416606903076
22,102x102,10404,6834,2,2,67.0,67.0,67,79,(0.09855895981789722+0j),21.050201654434204
23,102x102,10404,6324,2,2,62.0,62.0,62,74,(0.09819920270412036+0.020384759579891894j),22.74455714225769
24,102x102,10404,5814,2,2,57.0,57.0,57,69,(0.12847200786564122+0.038882201621004864j),18.111647367477417
25,102x102,10404,5304,2,2,52.0,52.0,52,64,(0.12455495074995977+0j),13.980416059494019
26,102x102,10404,4692,2,2,46.0,46.0,46,61,(0.12679746251612725+0.0043548497629079886j),11.48039698600769
27,102x102,10404,4182,2,2,41.0,41.0,41,55,(0.1529202274257142+0.03026990977280516j),8.849982500076294
28,102x102,10404,3672,2,2,36.0,36.0,36,50,(0.16038330234091394+0.01870975387469993j),7.61543607711792
29,102x102,10404,3162,3,2,31.0,31.0,31,46,(0.17307556493052106+0j),5.99627685546875
30,103x103,10609,8034,2,2,78.0,78.0,78,91,(0.08321116770513322+0j),29.379279851913452
